old_match_key,new_match_key,,,,,,,,,,,,,,,,,,,,,,
2019|Prelim|Manly Sea Eagles|Cronulla Sharks,2019|Qualif Final|Manly Sea Eagles|Cronulla Sharks,,,,,,,,,,,,,,,,,,,,,,
2019|Prelim|Melbourne Storm|Canberra Raiders,2019|Qualif Final|Melbourne Storm|Canberra Raiders,,,,,,,,,,,,,,,,,,,,,,
2019|Prelim|Parramatta Eels|Brisbane Broncos,2019|Qualif Final|Parramatta Eels|Brisbane Broncos,,,,,,,,,,,,,,,,,,,,,,
2019|Prelim|Sydney Roosters|South Sydney Rabbitohs,2019|Qualif Final|Sydney Roosters|South Sydney Rabbitohs,,,,,,,,,,,,,,,,,,,,,,
2019|Qual|Melbourne Storm|Parramatta Eels,2019|Semi Final|Melbourne Storm|Parramatta Eels,,,,,,,,,,,,,,,,,,,,,,
2019|Qual|South Sydney Rabbitohs|Manly Sea Eagles,2019|Semi Final|South Sydney Rabbitohs|Manly Sea Eagles,,,,,,,,,,,,,,,,,,,,,,
2019|Semi|Canberra Raiders|South Sydney Rabbitohs,2019|Prelim Final|Canberra Raiders|South Sydney Rabbitohs,,,,,,,,,,,,,,,,,,,,,,
2019|Semi|Sydney Roosters|Melbourne Storm,2019|Prelim Final|Sydney Roosters|Melbourne Storm,,,,,,,,,,,,,,,,,,,,,,
2020|Prelim|Canberra Raiders|Cronulla Sharks,2020|Qualif Final|Canberra Raiders|Cronulla Sharks,,,,,,,,,,,,,,,,,,,,,,
2020|Prelim|Melbourne Storm|Parramatta Eels,2020|Qualif Final|Melbourne Storm|Parramatta Eels,,,,,,,,,,,,,,,,,,,,,,
2020|Prelim|Penrith Panthers|Sydney Roosters,2020|Qualif Final|Penrith Panthers|Sydney Roosters,,,,,,,,,,,,,,,,,,,,,,
2020|Prelim|South Sydney Rabbitohs|Newcastle Knights,2020|Qualif Final|South Sydney Rabbitohs|Newcastle Knights,,,,,,,,,,,,,,,,,,,,,,
2020|Qual|Parramatta Eels|South Sydney Rabbitohs,2020|Semi Final|Parramatta Eels|South Sydney Rabbitohs,,,,,,,,,,,,,,,,,,,,,,
2020|Qual|Sydney Roosters|Canberra Raiders,2020|Semi Final|Sydney Roosters|Canberra Raiders,,,,,,,,,,,,,,,,,,,,,,
2020|Semi|Melbourne Storm|Canberra Raiders,2020|Prelim Final|Melbourne Storm|Canberra Raiders,,,,,,,,,,,,,,,,,,,,,,
