model,period,games,correct,accuracy,brier,logLoss
legacy2018,2009–2026,3625,2275,0.6275862068965518,0.22737035676441295,0.6481273871959137
legacy2018,2018–2026,1816,1180,0.6497797356828194,0.22130793199034712,0.6344408049560347
legacy2018,2022–2026,1044,663,0.6350574712643678,0.22533227529009425,0.6436135701703006
legacy2018,2026,204,121,0.5931372549019608,0.23356755501323956,0.6597695298695472
legacy2019,2009–2026,3625,2300,0.6344827586206897,0.22959962297152423,0.6533895831326496
legacy2019,2018–2026,1816,1184,0.6519823788546255,0.224785785406599,0.6427960963143402
legacy2019,2022–2026,1044,663,0.6350574712643678,0.22683875367601208,0.6470869202808819
legacy2019,2026,204,121,0.5931372549019608,0.23425950713078392,0.661114194370931
legacy2023,2009–2026,3625,2315,0.6386206896551724,0.22578387458948532,0.6450298015533604
legacy2023,2018–2026,1816,1203,0.6624449339207048,0.21983340258349499,0.6317655563707983
legacy2023,2022–2026,1044,682,0.6532567049808429,0.2228391397741199,0.6382757340085552
legacy2023,2026,204,125,0.6127450980392157,0.2301463746906556,0.6523367640304546
legacy2025,2009–2026,3625,2319,0.6397241379310344,0.22285037483569745,0.6385463913198287
legacy2025,2018–2026,1816,1202,0.6618942731277533,0.21674532060243681,0.6247105504431048
legacy2025,2022–2026,1044,683,0.6542145593869731,0.22050366319388184,0.6331075200353852
legacy2025,2026,204,124,0.6078431372549019,0.23067416081783965,0.6529945149370588
start2026,2009–2026,3625,2343,0.6463448275862069,0.22305408925972683,0.6389579544026256
start2026,2018–2026,1816,1220,0.6718061674008811,0.21749140840257894,0.6263520909343585
start2026,2022–2026,1044,697,0.6676245210727969,0.22100425821867237,0.6344309655228696
start2026,2026,204,129,0.6323529411764706,0.23043024592562147,0.6531623142232681
production,2009–2026,3625,2342,0.6460689655172414,0.2231110537219711,0.6390765864553668
production,2018–2026,1816,1222,0.6729074889867841,0.21752378720206378,0.6264112603172095
production,2022–2026,1044,699,0.6695402298850575,0.22103588918799333,0.634466699816076
production,2026,204,130,0.6372549019607843,0.23057687782043754,0.6533721855047712
browser2026,2009–2026,3625,2343,0.6463448275862069,0.2230985000874432,0.6390487118492787
browser2026,2018–2026,1816,1222,0.6729074889867841,0.21750696696840405,0.6263726683945722
browser2026,2022–2026,1044,699,0.6695402298850575,0.2210286850855136,0.6344528655431063
browser2026,2026,204,130,0.6372549019607843,0.23057526150928792,0.653374694373412
bstar,2009–2026,3625,2347,0.647448275862069,0.22308078429774955,0.6390127233801134
bstar,2018–2026,1816,1224,0.6740088105726872,0.21744730700299977,0.626249380746736
bstar,2022–2026,1044,700,0.6704980842911877,0.2209582850021981,0.6343069199825743
bstar,2026,204,130,0.6372549019607843,0.2304405788752281,0.6531020909788311
candidate,2009–2026,3625,2363,0.6518620689655172,0.2220607891294387,0.6367666814348846
candidate,2018–2026,1816,1238,0.6817180616740088,0.21564965093200988,0.6223970619087182
candidate,2022–2026,1044,711,0.6810344827586207,0.21815272148352313,0.6281745524505358
candidate,2026,204,132,0.6470588235294118,0.22880477199589283,0.6495516349381844
