model,year,games,correct,accuracy,brier,logLoss
legacy2018,2009,201,129,0.6417910447761194,0.23171128346041575,0.6636073139086514
legacy2018,2010,201,108,0.5373134328358209,0.24605721538858166,0.6851056730615107
legacy2018,2011,201,137,0.681592039800995,0.2256495208663276,0.6465641431813518
legacy2018,2012,201,123,0.6119402985074627,0.23650225496756236,0.6693133531503012
legacy2018,2013,201,114,0.5671641791044776,0.23340250574705929,0.6636677841024428
legacy2018,2014,201,116,0.5771144278606966,0.24023641579550678,0.6730526016227346
legacy2018,2015,201,120,0.5970149253731343,0.23804054942438968,0.6695378378443602
legacy2018,2016,201,117,0.582089552238806,0.23239963971505403,0.6616811456678089
legacy2018,2017,201,131,0.6517412935323383,0.21710677770239947,0.6242725195256534
legacy2018,2018,201,127,0.6318407960199005,0.2410994851759235,0.6759076997374467
legacy2018,2019,201,127,0.6318407960199005,0.2273004940383037,0.6482740937304294
legacy2018,2020,169,116,0.6863905325443787,0.20967633663749044,0.6109623976664199
legacy2018,2021,201,147,0.7313432835820896,0.1844010566060516,0.5512375564661556
legacy2018,2022,201,142,0.7064676616915423,0.20787451872392637,0.6025084573113743
legacy2018,2023,213,135,0.6338028169014085,0.22407695451371504,0.6431882087117642
legacy2018,2024,213,132,0.6197183098591549,0.22793661795952327,0.6506661395741177
legacy2018,2025,213,133,0.6244131455399061,0.23257016422464122,0.6603023805630377
legacy2018,2026,204,121,0.5931372549019608,0.23356755501323956,0.6597695298695472
legacy2019,2009,201,131,0.6517412935323383,0.23321147642287016,0.6667935999688902
legacy2019,2010,201,108,0.5373134328358209,0.24421208151560092,0.6814016206088432
legacy2019,2011,201,133,0.6616915422885572,0.22846726360360767,0.652220295073346
legacy2019,2012,201,126,0.6268656716417911,0.23607783570746468,0.6675471535476504
legacy2019,2013,201,124,0.6169154228855721,0.2327762751872318,0.6629859376091102
legacy2019,2014,201,119,0.5920398009950248,0.23961933990671752,0.6720127164449706
legacy2019,2015,201,118,0.5870646766169154,0.2395533355851081,0.6719832079386311
legacy2019,2016,201,130,0.6467661691542289,0.2297271181320838,0.6568216703144341
legacy2019,2017,201,127,0.6318407960199005,0.2262440648517112,0.6444503554543878
legacy2019,2018,201,125,0.6218905472636815,0.2367122582876594,0.6662338462753895
legacy2019,2019,201,126,0.6268656716417911,0.23088727250689633,0.6565426433300474
legacy2019,2020,169,121,0.7159763313609467,0.2173954772021572,0.6293428080605886
legacy2019,2021,201,149,0.7412935323383084,0.20230838867540715,0.5946366027893971
legacy2019,2022,201,142,0.7064676616915423,0.21459437167868753,0.6197208477359369
legacy2019,2023,213,133,0.6244131455399061,0.22512611954762363,0.6446465326936381
legacy2019,2024,213,132,0.6197183098591549,0.2281154940503838,0.6507762633087816
legacy2019,2025,213,135,0.6338028169014085,0.23172200459758185,0.6582277144513239
legacy2019,2026,204,121,0.5931372549019608,0.23425950713078392,0.661114194370931
legacy2023,2009,201,127,0.6318407960199005,0.23139688891663962,0.6630612255563036
legacy2023,2010,201,111,0.5522388059701493,0.24587527514046753,0.6847510476210523
legacy2023,2011,201,140,0.6965174129353234,0.22353543990677052,0.64234652714659
legacy2023,2012,201,128,0.6368159203980099,0.23516229125689825,0.6659658360205661
legacy2023,2013,201,116,0.5771144278606966,0.23058374741336485,0.6579788627223039
legacy2023,2014,201,122,0.6069651741293532,0.23418214902567652,0.6605168867100277
legacy2023,2015,201,121,0.6019900497512438,0.2349964796982692,0.6625932710055167
legacy2023,2016,201,122,0.6069651741293532,0.22865106180841646,0.6539023403563394
legacy2023,2017,201,125,0.6218905472636815,0.2214330165611461,0.6339923623715553
legacy2023,2018,201,128,0.6368159203980099,0.2364620462251229,0.6656456498843386
legacy2023,2019,201,128,0.6368159203980099,0.2271904671048382,0.6484844311561051
legacy2023,2020,169,119,0.7041420118343196,0.20726447313122415,0.607070248499149
legacy2023,2021,201,146,0.7263681592039801,0.19080371158679943,0.5681162476564819
legacy2023,2022,201,142,0.7064676616915423,0.20921048653065935,0.6069683785838164
legacy2023,2023,213,140,0.6572769953051644,0.2201554385909213,0.6339376356967037
legacy2023,2024,213,137,0.6431924882629108,0.22570550872058714,0.6456467813061563
legacy2023,2025,213,138,0.647887323943662,0.22851883529236452,0.651319443782923
legacy2023,2026,204,125,0.6127450980392157,0.2301463746906556,0.6523367640304546
legacy2025,2009,201,130,0.6467661691542289,0.22596863204847445,0.6517438942160899
legacy2025,2010,201,113,0.5621890547263682,0.24580942597412475,0.6848178282659124
legacy2025,2011,201,143,0.7114427860696517,0.2157129824429247,0.6265206626708109
legacy2025,2012,201,122,0.6069651741293532,0.23349712317769278,0.6628284499021289
legacy2025,2013,201,121,0.6019900497512438,0.2278570477397607,0.6519356993773149
legacy2025,2014,201,120,0.5970149253731343,0.23318570109385867,0.6582194409144356
legacy2025,2015,201,119,0.5920398009950248,0.23678028337645363,0.66629584955405
legacy2025,2016,201,128,0.6368159203980099,0.22187893749243423,0.6390509198002049
legacy2025,2017,201,121,0.6019900497512438,0.2201213421039181,0.6305091902726869
legacy2025,2018,201,129,0.6417910447761194,0.2324929128253335,0.6579698593284525
legacy2025,2019,201,126,0.6268656716417911,0.22515004328296986,0.6439483472494126
legacy2025,2020,169,119,0.7041420118343196,0.2022871194215306,0.5950221171588018
legacy2025,2021,201,145,0.7213930348258707,0.185228460097537,0.5535612505758603
